Campaign name,Ad name,Country,Targeting,Gender,Page Types,Creative Type,Bid Type,Title,Body,ad image,NF description,URL,
,,US,SA,Women,News Feed Desktop,Page Post Ad,CPC,1 My new website rocks!,I got a website with Page2site and now my business is online and my customers are updated,LaptopGirl.jpg,Test1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=website%20rocks%20baker%20NF&utm_campaign=rocks%USA%Female%SABC%NF, 
,,US,SA,Women,News Feed Desktop,Page Post Ad,CPC,2 My new website rocks!,I got a website with Page2site and now my business is online and my customers are updated,Barber6.jpg,Test2,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=website%20rocks%20flower%20NF&utm_campaign=rocks%USA%Female%SABC%NF, 
,,US,SA,Women,News Feed Desktop,Page Post Ad,CPC,My new website rocks!,I got a website with Page2site and now my business is online and my customers are updated,cat3.jpg,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=website%20rocks%20laptop%20NF&utm_campaign=rocks%USA%Female%SABC%NF, 
,,US,SA,Women,Right Column,Standard Ad,CPC,My new website rocks!,I got a website with Page2site and now my business is online and my customers are updated,cat1.jpg,,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=website%20rocks%20baker%20RHS&utm_campaign=rocks%USA%Female%SABC%RHS, 
,,US,SA,Women,Right Column,Standard Ad,CPC,My new website rocks!,I got a website with Page2site and now my business is online and my customers are updated,cat2.jpg,,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=website%20rocks%20flower%20RHS&utm_campaign=rocks%USA%Female%SABC%RHS, 
,,US,SA,Women,Right Column,Standard Ad,CPC,My new website rocks!,I got a website with Page2site and now my business is online and my customers are updated,cat3.jpg,,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=website%20rocks%20laptop%20RHS&utm_campaign=rocks%USA%Female%SABC%RHS, 
,,US,SA,Men,News Feed Desktop,Page Post Ad,CPC,My new website in seconds,"Thanks to Page2site, my business now has a website and my customers are constantly updated",cat1.jpg,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=in%20seconds%20cafe%20NF&utm_campaign=seconds%20USA%20Male%20SABC%20NF, 
,,US,SA,Men,News Feed Desktop,Page Post Ad,CPC,My new website in seconds,"Thanks to Page2site, my business now has a website and my customers are constantly updated",cat2.jpg,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=in%20seconds%20comp%20NF&utm_campaign=seconds%20USA%20Male%20SABC%20NF, 
,,US,SA,Men,News Feed Desktop,Page Post Ad,CPC,My new website in seconds,"Thanks to Page2site, my business now has a website and my customers are constantly updated",cat3.jpg,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=in%20seconds%20laptop%20NF&utm_campaign=seconds%20USA%20Male%20SABC%20NF, 
,,US,SA,Men,Right Column,Standard Ad,CPC,My new website in seconds,"Thanks to Page2site, my business now has a website and my customers are constantly updated",cat1.jpg,,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=in%20seconds%20cafe%20RHS&utm_campaign=seconds%20USA%20Male%20SABC%20RHS, 
,,US,SA,Men,Right Column,Standard Ad,CPC,My new website in seconds,"Thanks to Page2site, my business now has a website and my customers are constantly updated",cat2.jpg,,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=in%20seconds%20comp%20RHS&utm_campaign=seconds%20USA%20Male%20SABC%20RHS, 
,,US,SA,Men,Right Column,Standard Ad,CPC,My new website in seconds,"Thanks to Page2site, my business now has a website and my customers are constantly updated",cat3.jpg,,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=cpc&utm_term=similar%20and%20category&utm_content=in%20seconds%20laptop%20RHS&utm_campaign=seconds%20USA%20Male%20SABC%20RHS, 
